epoch,loss,val_loss
0,10636.0576171875,2660.72265625
1,-3386.44384765625,-7671.47607421875
2,-9845.11328125,-11480.830078125
3,-12410.3017578125,-13195.748046875
4,-14005.09765625,-14695.271484375
5,-15110.59765625,-15469.70703125
6,-16010.0927734375,-15942.6279296875
7,-16749.904296875,-17092.966796875
8,-17433.4140625,-17810.662109375
9,-17781.44921875,-17498.732421875
10,-18143.509765625,-18222.28515625
11,-18610.958984375,-18240.75
12,-19034.767578125,-19155.55859375
13,-19271.92578125,-19006.001953125
14,-19551.896484375,-18888.26171875
15,-20074.765625,-20324.001953125
16,-19974.154296875,-20062.9921875
17,-20445.5234375,-20597.966796875
18,-20393.390625,-20882.662109375
19,-20658.06640625,-21001.1953125
20,-20722.037109375,-21322.982421875
21,-20882.302734375,-20336.51171875
22,-20992.28125,-20810.841796875
23,-21221.474609375,-20701.16796875
24,-21462.349609375,-20893.96875
25,-21575.005859375,-21523.4765625
26,-21702.7265625,-21848.138671875
27,-21929.251953125,-21807.5546875
28,-21895.1796875,-21455.0546875
29,-22238.353515625,-21659.62109375
30,-22085.736328125,-22098.9296875
31,-22276.619140625,-21674.166015625
32,-22505.923828125,-22411.431640625
33,-22610.78125,-22152.419921875
34,-22769.669921875,-22645.271484375
35,-22807.146484375,-23426.060546875
36,-22876.626953125,-23367.705078125
37,-23062.357421875,-23015.69921875
38,-23213.09375,-23433.48828125
39,-23404.513671875,-23479.232421875
40,-23422.34375,-23314.052734375
41,-23642.81640625,-22989.68359375
42,-23504.072265625,-23519.072265625
43,-23571.171875,-23824.662109375
44,-23664.345703125,-23422.162109375
45,-23794.466796875,-23670.51953125
46,-23734.96484375,-24103.802734375
47,-23739.1796875,-24206.892578125
48,-23957.783203125,-23718.42578125
49,-23684.126953125,-24606.224609375
50,-24431.251953125,-24455.73828125
51,-24461.849609375,-23567.150390625
52,-24344.298828125,-24321.01953125
53,-24359.9609375,-24266.08203125
54,-24386.587890625,-24373.296875
55,-24647.1640625,-24476.35546875
56,-24618.91015625,-24745.498046875
57,-24566.130859375,-24618.33984375
58,-24632.849609375,-25328.34765625
59,-24751.712890625,-23665.232421875
60,-24498.619140625,-25039.978515625
61,-24189.197265625,-24268.13671875
62,-24369.1875,-24140.748046875
63,-24812.88671875,-24330.203125
64,-25028.357421875,-23744.09765625
65,-25140.603515625,-25308.970703125
66,-25096.765625,-24617.677734375
67,-25107.892578125,-25708.576171875
68,-25314.197265625,-25518.541015625
69,-25717.96875,-25446.853515625
70,-25538.66796875,-25529.361328125
71,-25584.3671875,-25786.359375
72,-25467.7578125,-25855.10546875
73,-25446.7890625,-26169.35546875
74,-25661.48828125,-25363.158203125
75,-25740.220703125,-24891.603515625
76,-25838.44921875,-26370.158203125
77,-25929.4453125,-25846.05078125
78,-25963.083984375,-26421.271484375
79,-25978.806640625,-25859.041015625
80,-26160.59375,-26650.859375
81,-26319.9453125,-25574.330078125
82,-26126.578125,-26485.203125
83,-25980.181640625,-25947.845703125
84,-26188.84765625,-25575.8984375
85,-26152.11328125,-25702.033203125
86,-26393.8046875,-26391.294921875
87,-26434.44921875,-26460.818359375
88,-26340.763671875,-26459.791015625
89,-26342.7890625,-26937.740234375
90,-26810.134765625,-26638.703125
91,-26861.21484375,-25289.13671875
