epoch,loss,val_loss
0,103073.2578125,102851.6640625
1,80979.7109375,25615.658203125
2,13469.341796875,14638.06640625
3,16515.076171875,21406.693359375
4,7737.59375,16902.259765625
5,3041.51123046875,16209.0380859375
6,1418.370849609375,31139.169921875
7,360.9513854980469,19259.630859375
8,-4462.302734375,20528.365234375
9,-5156.5029296875,28658.044921875
10,-5877.91162109375,25658.39453125
11,-5596.66943359375,21177.779296875
12,-7688.21484375,16464.546875
13,-6960.9296875,25368.0
14,-8508.4931640625,16105.6455078125
15,-2065.40380859375,31361.919921875
16,-7137.193359375,17779.87109375
17,-6910.54052734375,17093.96484375
18,-7130.791015625,16818.123046875
19,-3512.1083984375,4470.74169921875
20,-5649.9521484375,26397.875
21,-6297.34033203125,17343.193359375
22,-8060.74072265625,19189.75
23,-8674.138671875,22187.46484375
24,-6929.73291015625,16005.34375
25,-8879.4931640625,18898.44921875
26,-7731.62548828125,14309.208984375
27,-8759.1279296875,15769.6318359375
28,-6558.26513671875,13564.9521484375
29,-9302.5087890625,17283.349609375
30,-10790.4833984375,21309.1015625
31,-11363.7060546875,23028.755859375
32,-9797.52734375,18611.939453125
33,-9954.4814453125,23330.388671875
34,-3023.433349609375,27258.025390625
35,-5317.1337890625,19533.07421875
36,-6070.603515625,27186.66796875
37,-5651.45849609375,6488.62255859375
38,-6542.00048828125,14602.58203125
39,-7673.47705078125,9516.09765625
40,-6455.9931640625,14089.4345703125
41,-5598.3330078125,7775.08447265625
42,-4922.02587890625,6021.6962890625
43,-6774.17724609375,13611.8115234375
44,-6963.64697265625,12276.92578125
45,-6893.47119140625,14104.947265625
46,-5843.09814453125,18200.810546875
47,-6801.3203125,23337.583984375
48,-6187.29638671875,20649.43359375
49,-7857.3369140625,29235.984375
50,-8372.125,23447.21875
51,-9754.0634765625,34442.3203125
52,-8827.1396484375,26159.0859375
53,-9354.4296875,55973.30078125
54,-2461.337890625,34900.87109375
55,-8813.0166015625,24627.271484375
56,-7650.6767578125,34056.48828125
57,-6909.52099609375,17870.232421875
58,-9445.36328125,34529.359375
59,-9913.359375,63973.078125
60,-9001.345703125,48008.32421875
61,-6510.5126953125,27359.3125
62,-3148.866455078125,51657.51953125
63,-7867.64013671875,53146.15234375
64,-8567.8359375,41590.36328125
65,-9591.7578125,19890.310546875
66,-10061.443359375,12699.0732421875
67,-10756.6142578125,40023.15234375
68,-11406.8447265625,65088.3671875
69,-9628.0048828125,25357.056640625
